"filename", "language", "YAML", "Groovy", "Properties", "Dart", "Markdown", "XML", "Go", "Swift", "GraphQL", "C++", "JSON", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_client/README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/juanma/development/golang/happ/happ_client/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/Users/juanma/development/golang/happ/happ_client/android/app/build.gradle", "Groovy", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 72
"/Users/juanma/development/golang/happ/happ_client/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/Users/juanma/development/golang/happ/happ_client/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 1, 35
"/Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/juanma/development/golang/happ/happ_client/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/Users/juanma/development/golang/happ/happ_client/android/build.gradle", "Groovy", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/juanma/development/golang/happ/happ_client/android/gradle.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/juanma/development/golang/happ/happ_client/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/juanma/development/golang/happ/happ_client/android/settings.gradle", "Groovy", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/juanma/development/golang/happ/happ_client/build.yaml", "YAML", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 29
"/Users/juanma/development/golang/happ/happ_client/graphql/mutations/acceptInvitation.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/golang/happ/happ_client/graphql/mutations/addOrRemoveUser.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/juanma/development/golang/happ/happ_client/graphql/mutations/inviteGuestsAndOrganizers.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/golang/happ/happ_client/graphql/mutations/newEvent.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"/Users/juanma/development/golang/happ/happ_client/graphql/mutations/refreshTokens.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/golang/happ/happ_client/graphql/mutations/signIn.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"/Users/juanma/development/golang/happ/happ_client/graphql/mutations/signUp.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"/Users/juanma/development/golang/happ/happ_client/graphql/queries/getEventGuests.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/golang/happ/happ_client/graphql/queries/getEventHosts.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/golang/happ/happ_client/graphql/queries/getUserEvents.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 38
"/Users/juanma/development/golang/happ/happ_client/graphql/queries/getUserEventsFromFriends.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 38
"/Users/juanma/development/golang/happ/happ_client/graphql/queries/getUserOtherEvents.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 2, 0, 40
"/Users/juanma/development/golang/happ/happ_client/graphql/queries/searchUsers.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
