"filename", "language", "XML", "YAML", "Properties", "Groovy", "Dart", "GraphQL", "C++", "Markdown", "Swift", "Go", "Go Module File", "JSON", "Go Checksum File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_server/ent/schema/user.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 20, 8, 89
"/Users/juanma/development/golang/happ/happ_server/ent/tx.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 83, 32, 252
"/Users/juanma/development/golang/happ/happ_server/ent/user.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 70, 42, 473
"/Users/juanma/development/golang/happ/happ_server/ent/user/user.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 77, 32, 326
"/Users/juanma/development/golang/happ/happ_server/ent/user/where.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 457, 0, 0, 0, 115, 118, 690
"/Users/juanma/development/golang/happ/happ_server/ent/user_create.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 683, 0, 0, 0, 162, 89, 934
"/Users/juanma/development/golang/happ/happ_server/ent/user_delete.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 9, 13, 89
"/Users/juanma/development/golang/happ/happ_server/ent/user_query.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1133, 0, 0, 0, 106, 65, 1304
"/Users/juanma/development/golang/happ/happ_server/ent/user_update.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1031, 0, 0, 0, 79, 83, 1193
"/Users/juanma/development/golang/happ/happ_server/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 5, 124
"/Users/juanma/development/golang/happ/happ_server/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 730, 0, 1, 731
"/Users/juanma/development/golang/happ/happ_server/gqlgen.yml", "YAML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 12, 82
"/Users/juanma/development/golang/happ/happ_server/graph/dataloaders/dataloaders.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 11, 18, 101
"/Users/juanma/development/golang/happ/happ_server/graph/generated/generated.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9215, 0, 0, 0, 18, 932, 10165
"/Users/juanma/development/golang/happ/happ_server/graph/model/models_gen.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 1, 36, 196
"/Users/juanma/development/golang/happ/happ_server/graph/resolver.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"/Users/juanma/development/golang/happ/happ_server/graph/schema.graphqls", "GraphQL", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/juanma/development/golang/happ/happ_server/graph/user.graphqls", "GraphQL", 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 34, 25, 264
