"filename", "language", "Dart", "XML", "GraphQL", "YAML", "JSON", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/dateTimePicker.dart", "Dart", -106, 0, 0, 0, 0, 0, 0, 0, -13, -6, -125
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/inviteLoadingDialog.dart", "Dart", -133, 0, 0, 0, 0, 0, 0, 0, -12, -4, -149
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/loadingDialog.dart", "Dart", -137, 0, 0, 0, 0, 0, 0, 0, -8, -4, -149
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/mapWidget.dart", "Dart", -137, 0, 0, 0, 0, 0, 0, 0, -8, -21, -166
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/newEventGuestList.dart", "Dart", -188, 0, 0, 0, 0, 0, 0, 0, -43, -10, -241
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/photosDialog.dart", "Dart", -326, 0, 0, 0, 0, 0, 0, 0, -14, -33, -373
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/searchLocationBar.dart", "Dart", -140, 0, 0, 0, 0, 0, 0, 0, -2, -7, -149
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/searchLocationResults.dart", "Dart", -58, 0, 0, 0, 0, 0, 0, 0, -1, -3, -62
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/searchLocationScreen.dart", "Dart", -28, 0, 0, 0, 0, 0, 0, 0, -11, -6, -45
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/searchLocationTile.dart", "Dart", -66, 0, 0, 0, 0, 0, 0, 0, -2, -2, -70
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/searchUserInviteResults.dart", "Dart", -42, 0, 0, 0, 0, 0, 0, 0, -11, -10, -63
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/searchUserInviteTile.dart", "Dart", -159, 0, 0, 0, 0, 0, 0, 0, -3, -6, -168
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/newEventScreens/widgets/userRemoveMakeOrganizerDialog.dart", "Dart", -88, 0, 0, 0, 0, 0, 0, 0, 0, -2, -90
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/scan/scanScreen.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/deleteEventDialog.dart", "Dart", 178, 0, 0, 0, 0, 0, 0, 0, 28, 6, 212
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/updateEvent.dart", "Dart", 337, 0, 0, 0, 0, 0, 0, 0, 108, 16, 461
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/imageActionsDialog.dart", "Dart", 139, 0, 0, 0, 0, 0, 0, 0, 4, 5, 148
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/loadingUpdatedEventDialog.dart", "Dart", 147, 0, 0, 0, 0, 0, 0, 0, 17, 4, 168
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/searchFUTAAGInviteTile.dart", "Dart", 117, 0, 0, 0, 0, 0, 0, 0, 13, 6, 136
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/updateButton.dart", "Dart", 131, 0, 0, 0, 0, 0, 0, 0, 6, 9, 146
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/updateDatetime.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 1, 10, 67
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/updateDatetimePicker.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 13, 6, 130
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/updateEventMap.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 19, 115
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/updateEvent/widgets/updateEventPictureSlider.dart", "Dart", 339, 0, 0, 0, 0, 0, 0, 0, 4, 31, 374
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/acceptButton.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, -3, -1, -1
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/eventInvitation.dart", "Dart", -272, 0, 0, 0, 0, 0, 0, 0, -95, -21, -388
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/eventMap.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 3, 2, 80
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/eventMapAttributionDialog.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 14, 3, 145
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/guestList.dart", "Dart", -165, 0, 0, 0, 0, 0, 0, 0, -49, -7, -221
